"﻿""start""",profile_name,xmloutputversion,scanner,version,startstr,args,scaninfo__services,scaninfo__protocol,scaninfo__numservices,scaninfo__type,verbose__level,debugging__level,output__type,output__#Text,host__comment,host__status__state,host__address__addrtype,host__address__vendor,host__address__addr,host__hostnames,host__ports__extraports__count,host__ports__extraports__state,host__ports__port__protocol,host__ports__port__portid,host__ports__port__state__reason,host__ports__port__state__state,host__ports__port__state__reason_ttl,host__ports__port__service__method,host__ports__port__service__conf,host__ports__port__service__name,host__os,host__uptime__lastboot,host__uptime__seconds,host__tcpsequence__index,host__tcpsequence__values,host__tcpsequence__difficulty,host__ipidsequence__values,host__ipidsequence__class,host__tcptssequence__values,host__tcptssequence__class,runstats__finished__timestr,runstats__finished__time,runstats__hosts__down,runstats__hosts__total,runstats__hosts__up
,,,,,,,,,,,,,,,,,,,172.28.131.102,,,,tcp,49152,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.102,,,,tcp,49153,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.102,,,,tcp,49154,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.102,,,,tcp,50002,syn-ack,open,128,table,3,iiimsf,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,up,ipv4,,172.28.131.105,,985,closed,tcp,80,syn-ack,open,128,table,3,http,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,135,syn-ack,open,128,table,3,msrpc,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,139,syn-ack,open,128,table,3,netbios-ssn,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,445,syn-ack,open,128,table,3,microsoft-ds,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,1007,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,1010,syn-ack,open,128,table,3,surf,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,1011,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,1433,syn-ack,open,128,table,3,ms-sql-s,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,2007,syn-ack,open,128,table,3,dectalk,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,3389,syn-ack,open,128,table,3,ms-wbt-server,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,4045,syn-ack,open,128,table,3,lockd,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,9998,syn-ack,open,128,table,3,distinct32,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,49152,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,49153,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.131.105,,,,tcp,49154,syn-ack,open,128,table,3,unknown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,up,ipv4,,172.28.140.41,,990,filtered,tcp,22,reset,closed,64,table,3,ssh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.140.41,,,,tcp,80,syn-ack,open,64,table,3,http,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,172.28.140.41,,,,tcp,427,reset,closed,64,table,3,svrloc,,,,,,,,,,,,,,,
